country,development_level,poverty_rate_percent,internet_infrastructure_index,average_internet_speed_mbps,age,gender,urban_rural,family_income_level,device_access,internet_access_hours,education_level,field_of_study,academic_motivation,online_learning_hours,social_media_hours,sessions_per_day,average_session_length_minutes,late_night_usage,education_content_hours,short_video_hours,entertainment_content_hours,news_content_hours,likes_given_per_day,comments_written_per_day,posts_created_per_week,late_night_score,brain_rot_index,brain_rot_level,attention_span_minutes,study_hours_per_week,class_attendance_rate,productivity_score,sleep_hours,stress_level,anxiety_score,depression_score,ads_viewed_per_day,ads_clicked_per_week,impulse_purchase_score,digital_spending_per_month,cyberbullying_exposure,adult_content_exposure,digital_addiction_score,wellbeing_index,academic_risk_score,financial_risk_score
34,1,16.3,54.93,27.19,21,1,0,0,3,5.23952008707742,1,1,7.17721410679282,10.424397272517524,1.0987266990771538,4.648774782058632,16.057441426972243,3,0.2398830634601366,0.4570087785768208,0.4018348570401964,0.329406399813419,30.09633639752109,4.967674961481348,2.1083844191301764,1,5.868518986174464,0,57.55219380587381,31.434241132708525,95.48238625361569,10.0,7.139021591138307,4.2619710062386105,3.192919914057853,1.4091023773357292,38.69948386771578,3.1195693655517345,3.681066223941572,79.50819409224941,0,0,8.179932059632865,66.66216575161873,0.0,26.516721981537877
48,0,8.75,94.39,85.34,25,1,1,2,3,6.2624196169178505,0,0,5.49165680163384,8.14635313020412,5.611524655185302,15.140431454341057,63.08324810465332,2,0.3832238671607721,3.306065856644496,1.922234931380034,0.6437427890846252,114.38569768396933,3.174482458269285,5.478018296343048,2,29.59479926572989,0,51.30987325544304,25.978446746073697,86.61698546732075,7.179360894021053,4.0,8.2134952303323,8.064935036682071,7.695220578339184,157.4004292561328,18.358089973791376,6.538866556265003,73.45246417874287,0,1,22.073121779527582,43.89227832031192,0.0,39.25774076557582
6,0,14.51,90.5,188.19,25,1,1,2,1,4.203739435016289,2,5,7.618924763307913,8.674205085981026,2.2519598360467143,8.342250478200107,28.28205186490567,1,0.8600916810801686,1.200384760017515,0.1914833949490306,0.809703779929771,41.73788071395055,7.6890946589495615,1.824097229056856,0,7.357791106923671,0,58.02945967466857,31.182340873826465,93.38558061299136,10.0,7.537227661974387,4.356060708508455,4.860839327680024,1.7552328517913125,69.3183238887661,7.906197105661747,3.195382782774973,47.60748685776061,0,1,8.008238373690647,57.90939223967142,0.0,23.436122434861485
36,1,18.41,63.7,33.33,18,1,0,1,3,4.856546284174444,0,1,6.174413238369078,6.173963688000215,3.490762448048023,9.585748328421014,40.47780642972269,3,0.386091405621434,1.5437656552543784,1.5609053871722105,0.5106811691838677,65.01431929738374,8.328825977626392,4.61068073958581,1,21.566196484941724,0,55.59058898160706,26.22556670957053,82.55107624202338,7.517348168322749,6.718948310247277,3.730013875712297,1.4487553988313433,3.41965767643845,116.46085919867168,15.399315121196429,6.062650877565938,36.55280048142206,0,0,12.804565576791118,64.47178219090505,0.0,64.28613186524936
16,0,6.56,93.44,122.38,25,1,1,1,2,7.251634908322631,3,3,9.019311495164803,9.76322094032385,4.115842470619358,10.643222998054297,42.07447175014618,3,1.1361598826754251,1.320138829933938,1.659543758009995,0.7989300643225985,101.76301013595794,2.281917805080545,7.959881693454917,1,11.549632868637742,0,60.0,33.04082564806459,98.82212679565689,10.0,5.608658328528754,4.747613849326221,5.036695467421213,5.799217011607954,115.61974633599064,13.62411478084216,5.377689348846591,47.20518279461251,1,0,12.965840108457046,57.08901966129582,0.0,59.34014415290503
12,0,10.99,92.9,166.46,25,0,1,0,3,4.83834188511134,3,5,6.953579490973615,6.951175000892721,3.042317517610853,9.545178489120442,39.88965015518109,3,1.4898331782620031,0.9918945928206552,0.5605897465281942,1.1265857616451662,85.08206574176289,7.926663246551913,2.353166853902659,1,20.60508901105517,0,58.31404413468099,29.286953682433648,92.54562544648164,10.0,5.117748169106599,5.412702737653266,3.7574945057351217,5.217823984158385,93.25596679240748,9.06080537476303,3.866685968956196,69.65449556892355,1,0,11.753688067364918,54.3479910699687,0.0,19.339661473459405
38,1,22.33,69.46,26.6,25,1,0,2,3,5.686956501693134,0,0,6.756819401153691,7.735468831612598,4.180788763914567,12.480229039536573,51.2747336840952,3,0.2776840029718991,1.4780910567559729,2.425013704186695,0.2611261266950818,108.67978454570316,5.14262201312018,3.982279500565709,1,14.995742572927508,0,58.26830672746382,21.357562209954978,95.45459908909254,8.760168620532372,5.638088305919101,4.874853742091484,6.554382387364705,4.855229360968236,114.68809320671598,16.833263143903725,4.641137367957865,48.193815745306885,0,0,14.177954779864695,55.8574479238426,0.0,31.02186890297313
11,0,6.56,86.96,234.29,21,1,0,1,3,3.339649386097503,3,4,6.793491784928207,7.775865173498537,2.346901575032937,6.484867564193071,28.16362345588008,3,0.7380475203239233,0.7978471266883037,0.8110069280207102,0.7680066942896286,33.03372704682322,3.438707784083169,3.831928877889395,1,15.43005701843058,0,59.29953427314867,31.011482146135688,95.62108796522362,10.0,8.394522264280036,2.29787133181247,2.3717518719555755,5.009160258810036,58.57529284957416,6.04386766868718,4.347155095797371,40.2898926842982,0,0,9.814081380696363,70.6068421243369,0.0,35.95704940325903
34,1,16.3,54.93,27.19,20,1,0,2,3,3.777597320279456,3,0,9.04831180601795,9.96757161517522,2.9589468571733337,9.385162396983118,32.087212029841666,2,0.8258371917047551,1.7240198602372243,0.4090898052313538,0.470844624358221,75.77200438666753,2.862386718946925,4.165641837767843,2,24.914884152815592,0,55.31019985308447,30.42217745039485,97.35928828346584,8.264534928542865,6.081481892980823,6.202067963183716,9.357007513766805,4.794368915720608,83.32806898832666,18.164738385574857,6.335928735252342,68.13226904155196,0,1,14.773921038491052,47.139910604663335,0.0,40.56842105183858
16,0,6.56,93.44,122.38,21,1,1,2,3,4.9385423263986885,1,3,4.417180686412277,6.240114249870153,3.9127342645068506,11.44299645967128,46.92594956370003,1,0.8947210111610927,1.782656300702406,1.235356952643352,0.6004304630867859,88.47906449257383,9.29883591144019,7.660118148956355,0,16.06627660018643,0,48.2859542348617,25.100719057510823,88.7502284717314,10.0,5.873490319053817,5.975232368809458,5.692044609414464,6.942919576997407,110.20302770674564,12.41895166209896,5.288873589259008,58.4757658786157,0,0,11.642396672212511,43.396817201797646,0.0,49.54823046587013
47,0,12.32,93.79,133.44,21,0,1,0,1,6.303748063235673,1,5,5.2859710731217096,7.020468990983724,2.683417142625862,7.24413882562963,34.465242285756624,1,0.6340229130834143,1.1343161629631342,0.9150780665793136,0.3579057227149798,42.292631560485866,4.688349467630374,2.2314285372366096,0,19.788343444288486,0,54.13292276758718,25.1878673846006,91.53193181026784,8.48849482092675,6.511742863673699,7.519855197333003,4.898408950623688,8.506919927734225,78.8396726689029,11.044112899925148,4.344571832356184,86.26386691913326,0,0,10.430124502106189,42.0157230449524,0.0,29.10565141483156
45,1,20.82,74.61,52.36,21,0,0,2,3,4.504142401989555,1,2,6.428952538167837,6.454920437340874,2.4550773593086337,7.684380154462029,33.57908188308795,3,0.4928288996367274,1.2748131362505564,0.6874353234213499,0.6820660486345089,74.32784466238793,6.107541704084435,2.773881873581978,1,23.050637383706093,0,55.10053832354247,25.182699505924937,92.22693783781804,10.0,7.455905036291853,5.6077907276769725,5.223810849592876,6.443978626559989,67.05767132083145,10.836145730613303,5.419142121978068,70.4683553168097,0,1,14.141893659051924,48.06795723326755,0.0,40.97841768330738
49,1,30.7,66.87,45.63,22,1,1,2,3,6.174111304466878,1,0,7.707413351331173,7.20615918579396,3.293953957819508,11.01846977959321,47.04156644772891,3,0.6613147775321644,1.6608513643658858,0.971787815921458,0.821205125670223,50.12561199164771,6.337156935561332,4.709461865885698,1,25.287671073198467,0,58.1826821029028,25.568851141865963,100.0,8.173646616724728,6.476717384604813,4.446804988523675,5.327315187925954,5.445580240600576,84.69564205546317,11.093755041816582,4.7903435037686215,79.286359640227,1,0,15.820057759819544,59.13713416288687,0.0,38.60344462947396
