hyperedge_id,num_features,features
H1,11,age_at_diagnosis;brip1_mut;casp8_mut;flt3_mut;gps2_mut;inferred_menopausal_state;map3k10_mut;men1_mut;nottingham_prognostic_index;npnt_mut;overall_survival_months
H2,3,cancer_type_detailed;oncotree_code;tumor_other_histologic_subtype
H3,3,age_at_diagnosis;overall_survival_months;pam50_+_claudin-low_subtype
H4,7,age_at_diagnosis;cancer_type_detailed;flt3_mut;nrg3_mut;oncotree_code;overall_survival_months;tumor_other_histologic_subtype
H5,3,age_at_diagnosis;integrative_cluster;overall_survival_months
H6,11,age_at_diagnosis;agmo_mut;casp8_mut;fbxw7_mut;foxp1_mut;jak1_mut;lymph_nodes_examined_positive;nottingham_prognostic_index;overall_survival_months;ptprm_mut;tumor_size
H7,6,age_at_diagnosis;flt3_mut;mutation_count;nottingham_prognostic_index;overall_survival_months;tumor_size
H8,11,age_at_diagnosis;bap1_mut;fbxw7_mut;flt3_mut;nottingham_prognostic_index;nrg3_mut;or6a2_mut;overall_survival_months;palld_mut;taf4b_mut;tumor_size
H9,11,bap1_mut;bcas3_mut;fbxw7_mut;flt3_mut;foxp1_mut;jak1_mut;l1cam_mut;nrg3_mut;overall_survival_months;ptprm_mut;sik2_mut
H10,11,age_at_diagnosis;flt3_mut;foxp1_mut;hdac9_mut;nottingham_prognostic_index;nrg3_mut;or6a2_mut;overall_survival_months;sbno1_mut;taf4b_mut;tumor_size
H11,2,death_from_cancer;overall_survival
